; 14:50:48,797 DEBUG [InvocationContext] (http-nio-7080-exec-1) Set locale "en"
; 14:50:48,797 DEBUG [FlatHTTPServer] (http-nio-7080-exec-1) Received a POST HTML request from nexjsa @ 0:0:0:0:0:0:0:1 (http:0:0:0:0:0:0:0:1:62001) at http://localhost:7080/nexj/SysPortletServer/EntityNavigatorPortlet.html?r=8&c=Dialog%24&s=0&ai=CAE7BEC72705356093FBFE5EE1695276&al=EntityNavigatorPortlet$refEntityNavigatorPortlet109AF10EB0FA094649B7E3BC8CBE07D1AD&nc=1&si=0&burl=..&ax=1
; 14:50:48,798 DEBUG [FlatWebPageServer] (http-nio-7080-exec-1) BaseURL: http://localhost:7080/nexj
; 14:50:48,798 DEBUG [FlatWebPageServer] (http-nio-7080-exec-1) AppInstance: CAE7BEC72705356093FBFE5EE1695276
; 14:50:48,799 DEBUG [PopupHelper] (http-nio-7080-exec-1) user pressed sysYes
; 14:50:48,799 DEBUG [InvocationContext] (http-nio-7080-exec-1) Set locale "fr"
; 14:50:48,799 DEBUG [GenericTransactionManager] (http-nio-7080-exec-1) Starting new transaction Tx(6101000000000000A17E87F0E93C01C98EEF87211704480F, timeout=300s, status=0)
; 14:50:48,799 DEBUG [InvocationContext] (http-nio-7080-exec-1) Started new transaction Tx(6101000000000000A17E87F0E93C01C98EEF87211704480F, timeout=300s, status=0)
; 14:50:48,800 DEBUG [EntitySearchContextEnum] (http-nio-7080-exec-1) Invoking Event EntitySearchContextEnum.load(attributes)
; 14:50:48,800 DEBUG [load] (http-nio-7080-exec-1) Loading attribute(s) (deleted) of Instance<EntitySearchContextEnum, (oid "PSN" "fr" "SENTITYSEARCHCONTEXT"), clean>
; 14:50:48,800 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Retrieved 1 instance(s) of EntitySearchContextEnum in 0 ms
; 14:50:48,800 DEBUG [Person] (http-nio-7080-exec-1) Invoking Event Person.load(attributes)
; 14:50:48,800 DEBUG [Person] (http-nio-7080-exec-1) Invoking Event Person.isNew()
; 14:50:48,800 DEBUG [load] (http-nio-7080-exec-1) Loading attribute(s) (deleted) of Instance<Person, (oid #z6DFADA4DE117472E9A4AC0CD597AA66A), clean>
; 14:50:48,800 DEBUG [SQLAdapter] (http-nio-7080-exec-1) select A.id, A.active, A.birthTime, A.branch, A.companyName, A.dear, A.departmentName, A.firstName, A.fnsound, A.goesBy, B.investmentApproach, A.isClient, A.isConsultant, A.isFormerClient, A.isInvestingCompany, A.isLead, A.isOther, A.isProspect, A.isStatus1, A.isStatus2, A.isStatus3, A.lastName, A.lnsound, C.notes, A.position, D.sendToEmailData, B.tickerSymbol, E.totalAssets, E.totalInvestments, A.classCode, F.createAuthorAlias, F.createTime, F.createUserAlias, A.deletedFlag, F.editAuthorAlias, F.editTime, F.editUserAlias, A.locking, A.readOnlyFlag, F.sysCreateTime, F.sysEditTime, A.affix, A.initials, A.ssn, A.title, G.billToAddress, G.businessAddress, G.defaultAddress, G.mailToAddress, G.shipToAddress, G.homeAddress, N.taxonomyId, A.companyId, A.departmentId, R.email, R.smsEmail, A.primaryRepCodeId, A.coverageParentId, N.parentId, A.typeId, A.householdId, A.objectId, A.editPrincipalId, A.viewPrincipalId, A.serviceLevelId, R.defaultTelcom, R.faxPhone, R.homePhone, R.mobilePhone, R.workPhone, AH.userId, F.sysCreateUserId, F.sysEditUserId, A.ownerId from NJEntity A left join NJEntityXFund B on A.id = B.id left join NJEntityNotes C on A.id = C.id left join NJEntityXSendToEmail D on A.id = D.id left join NJEntityX01 E on A.id = E.id left join NJEntityXAudit F on A.id = F.id left join NJEntityXDefAddr G on A.id = G.id left join NJEntityXTaxonomy N on A.id = N.id left join NJEntityXDefTel R on A.id = R.id left join NJUserPerson AH on A.id = AH.id where A.id = ?
; 14:50:48,800 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Bind[0] = 6DFADA4DE117472E9A4AC0CD597AA66A
; 14:50:48,801 DEBUG [SQLAdapter] (http-nio-7080-exec-1) SQL execution time: 0 ms
; 14:50:48,801 DEBUG [Query] (http-nio-7080-exec-1) Joining Person.type(EntityType) from cache
